period,TSA_U,RH2M,TRAFFICFLUX,factor,factor_label
winter,-0.03253784179685226,84.02220153808594,29.9550724029541,add0.8,+80%
winter,-0.18332519531247726,85.00720977783203,15.159775733947754,0.05,-10%
winter,-0.20059814453122726,85.1496810913086,13.677839279174805,0.1,-20%
winter,-0.21689453124997726,85.26715850830078,12.195905685424805,0.15,-30%
winter,-0.23346557617185226,85.4054946899414,10.713970184326172,0.2,-40%
winter,-0.25220336914060226,85.50189208984375,9.232036590576172,0.25,-50%
winter,-0.27048339843747726,85.64341735839844,7.750101566314697,0.3,-60%
summer,21.437249755859398,74.06096649169922,16.253612518310547,base,
summer,21.327691650390648,74.75531005859375,3.2507200241088867,sub0.8,-80%
summer,21.386346435546898,74.39918518066406,9.75216007232666,sub0.4,-40%
summer,21.413964843750023,74.232177734375,13.002880096435547,sub0.2,-20%
summer,21.426629638671898,74.13590240478516,14.628240585327148,sub0.1,-10%
summer,21.452600097656273,73.96604919433594,17.87896156311035,add0.1,+10%
summer,21.466363525390648,73.88444519042969,19.50432014465332,add0.2,+20%
summer,21.493371582031273,73.72845458984375,22.75503921508789,add0.4,+40%
summer,21.543969726562523,73.44110107421875,29.256481170654297,add0.8,+80%
summer,21.427972412109398,74.12709045410156,14.796475410461426,0.05,-10%
summer,21.416711425781273,74.21467590332031,13.339347839355469,0.1,-20%
summer,21.404595947265648,74.29109954833984,11.882222175598145,0.15,-30%
summer,21.392144775390648,74.3670654296875,10.425095558166504,0.2,-40%
summer,21.379541015625023,74.43778228759766,8.96796989440918,0.25,-50%
summer,21.366693115234398,74.51333618164062,7.510842323303223,0.3,-60%
winter,-0.16901245117185226,84.87442016601562,16.641735076904297,base,
winter,-0.32730712890622726,86.01409149169922,3.328341484069824,sub0.8,-80%
winter,-0.24323120117185226,85.46450805664062,9.985025405883789,sub0.4,-40%
winter,-0.20453491210935226,85.17538452148438,13.313365936279297,sub0.2,-20%
winter,-0.18546142578122726,85.04178619384766,14.97753620147705,sub0.1,-10%
winter,-0.14829101562497726,84.7641830444336,18.30588150024414,add0.1,+10%
winter,-0.13171997070310226,84.60829162597656,19.970050811767578,add0.2,+20%
winter,-0.09824218749997726,84.42276000976562,23.298391342163086,add0.4,+40%
winter,-0.03253784179685226,84.02220153808594,29.9550724029541,add0.8,+80%
winter,-0.18332519531247726,85.00720977783203,15.159775733947754,0.05,-10%
winter,-0.20059814453122726,85.1496810913086,13.677839279174805,0.1,-20%
winter,-0.21689453124997726,85.26715850830078,12.195905685424805,0.15,-30%
winter,-0.23346557617185226,85.4054946899414,10.713970184326172,0.2,-40%
winter,-0.25220336914060226,85.50189208984375,9.232036590576172,0.25,-50%
winter,-0.27048339843747726,85.64341735839844,7.750101566314697,0.3,-60%
summer,21.437249755859398,74.06096649169922,16.253612518310547,base,
summer,21.327691650390648,74.75531005859375,3.2507200241088867,sub0.8,-80%
summer,21.386346435546898,74.39918518066406,9.75216007232666,sub0.4,-40%
summer,21.413964843750023,74.232177734375,13.002880096435547,sub0.2,-20%
summer,21.426629638671898,74.13590240478516,14.628240585327148,sub0.1,-10%
summer,21.452600097656273,73.96604919433594,17.87896156311035,add0.1,+10%
summer,21.466363525390648,73.88444519042969,19.50432014465332,add0.2,+20%
summer,21.493371582031273,73.72845458984375,22.75503921508789,add0.4,+40%
summer,21.543969726562523,73.44110107421875,29.256481170654297,add0.8,+80%
summer,21.427972412109398,74.12709045410156,14.796475410461426,0.05,-10%
summer,21.416711425781273,74.21467590332031,13.339347839355469,0.1,-20%
summer,21.404595947265648,74.29109954833984,11.882222175598145,0.15,-30%
summer,21.392144775390648,74.3670654296875,10.425095558166504,0.2,-40%
summer,21.379541015625023,74.43778228759766,8.96796989440918,0.25,-50%
summer,21.366693115234398,74.51333618164062,7.510842323303223,0.3,-60%
winter,-0.16901245117185226,84.87442016601562,16.641735076904297,base,
winter,-0.32730712890622726,86.01409149169922,3.328341484069824,sub0.8,-80%
winter,-0.24323120117185226,85.46450805664062,9.985025405883789,sub0.4,-40%
winter,-0.20453491210935226,85.17538452148438,13.313365936279297,sub0.2,-20%
winter,-0.18546142578122726,85.04178619384766,14.97753620147705,sub0.1,-10%
winter,-0.14829101562497726,84.7641830444336,18.30588150024414,add0.1,+10%
winter,-0.13171997070310226,84.60829162597656,19.970050811767578,add0.2,+20%
winter,-0.09824218749997726,84.42276000976562,23.298391342163086,add0.4,+40%
winter,-0.03253784179685226,84.02220153808594,29.9550724029541,add0.8,+80%
winter,-0.18332519531247726,85.00720977783203,15.159775733947754,0.05,-10%
winter,-0.20059814453122726,85.1496810913086,13.677839279174805,0.1,-20%
winter,-0.21689453124997726,85.26715850830078,12.195905685424805,0.15,-30%
winter,-0.23346557617185226,85.4054946899414,10.713970184326172,0.2,-40%
winter,-0.25220336914060226,85.50189208984375,9.232036590576172,0.25,-50%
winter,-0.27048339843747726,85.64341735839844,7.750101566314697,0.3,-60%
summer,21.437249755859398,74.06096649169922,16.253612518310547,base,
summer,21.327691650390648,74.75531005859375,3.2507200241088867,sub0.8,-80%
summer,21.386346435546898,74.39918518066406,9.75216007232666,sub0.4,-40%
summer,21.413964843750023,74.232177734375,13.002880096435547,sub0.2,-20%
summer,21.426629638671898,74.13590240478516,14.628240585327148,sub0.1,-10%
summer,21.452600097656273,73.96604919433594,17.87896156311035,add0.1,+10%
summer,21.466363525390648,73.88444519042969,19.50432014465332,add0.2,+20%
summer,21.493371582031273,73.72845458984375,22.75503921508789,add0.4,+40%
summer,21.543969726562523,73.44110107421875,29.256481170654297,add0.8,+80%
summer,21.427972412109398,74.12709045410156,14.796475410461426,0.05,-10%
summer,21.416711425781273,74.21467590332031,13.339347839355469,0.1,-20%
summer,21.404595947265648,74.29109954833984,11.882222175598145,0.15,-30%
summer,21.392144775390648,74.3670654296875,10.425095558166504,0.2,-40%
summer,21.379541015625023,74.43778228759766,8.96796989440918,0.25,-50%
summer,21.366693115234398,74.51333618164062,7.510842323303223,0.3,-60%
winter,-0.16901245117185226,84.87442016601562,16.641735076904297,base,
winter,-0.32730712890622726,86.01409149169922,3.328341484069824,sub0.8,-80%
winter,-0.24323120117185226,85.46450805664062,9.985025405883789,sub0.4,-40%
winter,-0.20453491210935226,85.17538452148438,13.313365936279297,sub0.2,-20%
winter,-0.18546142578122726,85.04178619384766,14.97753620147705,sub0.1,-10%
winter,-0.14829101562497726,84.7641830444336,18.30588150024414,add0.1,+10%
winter,-0.13171997070310226,84.60829162597656,19.970050811767578,add0.2,+20%
winter,-0.09824218749997726,84.42276000976562,23.298391342163086,add0.4,+40%
winter,-0.03253784179685226,84.02220153808594,29.9550724029541,add0.8,+80%
winter,-0.18332519531247726,85.00720977783203,15.159775733947754,0.05,-10%
winter,-0.20059814453122726,85.1496810913086,13.677839279174805,0.1,-20%
winter,-0.21689453124997726,85.26715850830078,12.195905685424805,0.15,-30%
winter,-0.23346557617185226,85.4054946899414,10.713970184326172,0.2,-40%
winter,-0.25220336914060226,85.50189208984375,9.232036590576172,0.25,-50%
winter,-0.27048339843747726,85.64341735839844,7.750101566314697,0.3,-60%
summer,21.437249755859398,74.06096649169922,16.253612518310547,base,
summer,21.327691650390648,74.75531005859375,3.2507200241088867,sub0.8,-80%
summer,21.386346435546898,74.39918518066406,9.75216007232666,sub0.4,-40%
summer,21.413964843750023,74.232177734375,13.002880096435547,sub0.2,-20%
summer,21.426629638671898,74.13590240478516,14.628240585327148,sub0.1,-10%
summer,21.452600097656273,73.96604919433594,17.87896156311035,add0.1,+10%
summer,21.466363525390648,73.88444519042969,19.50432014465332,add0.2,+20%
summer,21.493371582031273,73.72845458984375,22.75503921508789,add0.4,+40%
summer,21.543969726562523,73.44110107421875,29.256481170654297,add0.8,+80%
summer,21.427972412109398,74.12709045410156,14.796475410461426,0.05,-10%
summer,21.416711425781273,74.21467590332031,13.339347839355469,0.1,-20%
summer,21.404595947265648,74.29109954833984,11.882222175598145,0.15,-30%
summer,21.392144775390648,74.3670654296875,10.425095558166504,0.2,-40%
summer,21.379541015625023,74.43778228759766,8.96796989440918,0.25,-50%
summer,21.366693115234398,74.51333618164062,7.510842323303223,0.3,-60%
winter,-0.16901245117185226,84.87442016601562,16.641735076904297,base,
winter,-0.32730712890622726,86.01409149169922,3.328341484069824,sub0.8,-80%
winter,-0.24323120117185226,85.46450805664062,9.985025405883789,sub0.4,-40%
winter,-0.20453491210935226,85.17538452148438,13.313365936279297,sub0.2,-20%
winter,-0.18546142578122726,85.04178619384766,14.97753620147705,sub0.1,-10%
winter,-0.14829101562497726,84.7641830444336,18.30588150024414,add0.1,+10%
winter,-0.13171997070310226,84.60829162597656,19.970050811767578,add0.2,+20%
winter,-0.09824218749997726,84.42276000976562,23.298391342163086,add0.4,+40%
winter,-0.03253784179685226,84.02220153808594,29.9550724029541,add0.8,+80%
winter,-0.18332519531247726,85.00720977783203,15.159775733947754,0.05,-10%
winter,-0.20059814453122726,85.1496810913086,13.677839279174805,0.1,-20%
winter,-0.21689453124997726,85.26715850830078,12.195905685424805,0.15,-30%
winter,-0.23346557617185226,85.4054946899414,10.713970184326172,0.2,-40%
winter,-0.25220336914060226,85.50189208984375,9.232036590576172,0.25,-50%
winter,-0.27048339843747726,85.64341735839844,7.750101566314697,0.3,-60%
